,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,total_vaccinations,people_fully_vaccinated,population
0,Afghanistan,Asia,155072.0,3892.816,7200.0,180.744,3133227.0,430744.0,39835428.0
1,Africa,,8248063.0,6005.201,209210.0,152.32,140475784.0,57267227.0,1373486472.0
2,Albania,Europe,168188.0,58542.243,2653.0,923.446,1693555.0,760960.0,2872934.0
3,Algeria,Africa,202877.0,4547.117,5786.0,129.683,9989662.0,4174623.0,44616626.0
4,Andorra,Europe,15189.0,196357.008,130.0,1680.585,93430.0,41831.0,77354.0
5,Angola,Africa,55583.0,1637.992,1513.0,44.587,2820134.0,983587.0,33933611.0
6,Anguilla,North America,,,,,18584.0,9086.0,15125.0
7,Antigua and Barbuda,North America,2923.0,29606.596,64.0,648.246,81915.0,36816.0,98728.0
8,Argentina,South America,5251940.0,115159.417,114954.0,2520.599,50755054.0,21338286.0,45605823.0
9,Armenia,Asia,259007.0,87262.746,5264.0,1773.508,408535.0,143840.0,2968128.0
10,Aruba,North America,,,,,155660.0,74511.0,107195.0
11,Asia,,75349539.0,16101.497,1119902.0,239.313,4126488680.0,1665228481.0,4679660580.0
12,Australia,Oceania,100911.0,3913.066,1256.0,48.704,26660961.0,10634837.0,25788217.0
13,Austria,Europe,737202.0,81521.191,10976.0,1213.747,10792944.0,5389744.0,9043072.0
14,Azerbaijan,Asia,481401.0,47088.409,6476.0,633.452,8349945.0,3636195.0,10223344.0
15,Bahamas,North America,20775.0,52341.313,523.0,1317.666,184461.0,70128.0,396914.0
16,Bahrain,Asia,274877.0,157225.754,1389.0,794.488,2561756.0,1111146.0,1748295.0
17,Bangladesh,Asia,1552563.0,9335.721,27439.0,164.994,40317634.0,16123538.0,166303494.0
18,Barbados,North America,7764.0,26985.694,68.0,236.351,234124.0,101857.0,287708.0
19,Belarus,Europe,532149.0,56354.601,4102.0,434.402,3389520.0,1512121.0,9442867.0
20,Belgium,Europe,1238358.0,106458.257,25568.0,2198.011,16561256.0,8376853.0,11632334.0
21,Belize,North America,19945.0,49257.252,405.0,1000.21,304218.0,115175.0,404915.0
22,Benin,Africa,22958.0,1843.863,154.0,12.368,174104.0,21405.0,12451031.0
23,Bermuda,North America,,,,,86676.0,42821.0,62092.0
24,Bhutan,Asia,2599.0,3332.479,3.0,3.847,1068414.0,494279.0,779900.0
25,Bolivia,South America,499202.0,42187.501,18707.0,1580.926,6443148.0,3083818.0,11832936.0
26,Bonaire Sint Eustatius and Saba,North America,,,,,35845.0,16736.0,26445.0
